promotion_id,promotion_name,start_date,end_date,discount_type,discount_value,min_purchase_amount,applicable_products
d87f9b01-385f-4838-92d5-b73e5ec52387,Pre-emptive regional database,2024-09-30,2024-10-17,percentage,16,84,['exactly']
1b6a743e-8096-47f2-be47-5629bc2bdf15,Secured well-modulated project,2024-09-12,2024-10-22,percentage,62,73,"['bar', 'federal', 'south', 'own', 'nation']"
8029806a-3a80-42a5-a3e3-ae62b50e571d,Extended multimedia knowledge user,2024-10-08,2024-10-31,fixed_amount,19,13,"['affect', 'finally', 'house', 'significant']"
897bc0ee-e1a6-4610-8e7f-5337948605c1,Profit-focused 24/7 portal,2024-10-01,2024-10-23,fixed_amount,38,48,"['method', 'trip', 'drive', 'particular']"
e540fc46-59c8-4e37-9e00-7c8b4606f95a,Triple-buffered cohesive strategy,2024-09-24,2024-10-25,percentage,57,70,"['act', 'table', 'service']"
1711afe5-0a58-4834-9d44-d9bb4ff67b35,Realigned needs-based orchestration,2024-09-11,2024-10-16,percentage,44,13,"['east', 'see']"
69498f6d-da4c-4526-a9d0-d42485c1822e,Diverse incremental project,2024-09-25,2024-11-02,fixed_amount,19,56,['stop']
ff9ff596-ad78-4dbe-8ab3-cadef1e77035,Business-focused asynchronous parallelism,2024-09-20,2024-10-15,percentage,43,46,['lawyer']
dedefb6f-731d-429a-8991-994fb904dc91,Mandatory asynchronous utilization,2024-09-17,2024-10-14,fixed_amount,12,34,"['skill', 'read', 'though', 'husband', 'accept']"
f64c5a4c-6753-47a2-8826-a25924a93d78,Robust dedicated infrastructure,2024-10-04,2024-10-15,percentage,34,20,"['speak', 'sometimes', 'put']"
55c3869c-8886-4a34-844e-532c9ff9e96c,Inverse multimedia knowledgebase,2024-09-28,2024-10-16,percentage,78,51,"['his', 'care', 'whose', 'three', 'visit']"
20434bef-9e0e-47f0-b476-c47fbf4bf7d4,Persistent modular concept,2024-09-16,2024-10-25,fixed_amount,81,92,"['race', 'prevent', 'deep']"
df71d9e6-84a7-496e-bc3f-f03e74bd6bd9,Extended context-sensitive throughput,2024-09-10,2024-10-19,percentage,59,98,['writer']
dd01cc99-fd3c-4643-afcd-8f5666bf7744,Reverse-engineered grid-enabled knowledgebase,2024-09-29,2024-10-23,percentage,84,77,"['my', 'throughout']"
3bb14439-8a0b-436d-b858-5d9b6d5eeaaa,Realigned optimizing data-warehouse,2024-09-22,2024-10-18,fixed_amount,36,2,"['very', 'source', 'mother']"
30f3ce84-def5-4f70-bb6f-4cb86b9ec69b,Inverse actuating budgetary management,2024-09-20,2024-10-13,fixed_amount,7,49,"['must', 'prove']"
b7925b3f-dfff-44b5-b9be-6844481beb1f,Business-focused dynamic service-desk,2024-09-16,2024-11-07,fixed_amount,37,14,"['ok', 'later', 'woman', 'ok']"
422fe5c1-ef70-4e07-b3e8-2d197a9876f3,Re-engineered heuristic concept,2024-09-20,2024-11-03,fixed_amount,40,11,"['available', 'ever']"
fa91c58c-27c2-4259-8b48-44cb77e0233b,Grass-roots dynamic matrices,2024-09-13,2024-10-31,percentage,50,66,"['future', 'air', 'style', 'even', 'coach']"
ed647d6c-2ce6-43ac-8692-002add8d5e05,Ameliorated uniform website,2024-09-22,2024-11-05,fixed_amount,68,71,"['property', 'my', 'government', 'check', 'bill']"
1f251e3b-7be1-4fc4-9004-e4cfc2ccd3c7,Polarized web-enabled extranet,2024-09-28,2024-10-16,fixed_amount,74,55,"['benefit', 'sister', 'anyone', 'finish']"
77345760-8fff-423f-85bf-2afeee8695d9,Decentralized executive software,2024-10-07,2024-11-02,fixed_amount,3,62,"['water', 'way', 'throw', 'best']"
cb9e8285-bb1b-4e6a-88a0-7a2ecfbcce1a,Exclusive next generation forecast,2024-09-18,2024-10-11,fixed_amount,89,16,"['level', 'author', 'century', 'price']"
0aa93270-3751-45bc-8ea5-cbb2bc9622e9,Diverse coherent moderator,2024-09-16,2024-10-12,percentage,50,95,"['research', 'example']"
aea63741-8dfa-4d14-8ee9-22c33a0567c3,Ameliorated 24hour matrix,2024-09-29,2024-10-26,percentage,80,74,"['message', 'eat', 'machine']"
d58f01b5-f0fe-4eb6-aaa9-343b8083314d,Reverse-engineered stable neural-net,2024-09-29,2024-10-12,fixed_amount,46,39,"['item', 'center', 'do', 'sound', 'break']"
dc24c06e-433d-4e6b-82f8-c1de19ce6f49,Enterprise-wide hybrid application,2024-09-17,2024-11-01,percentage,87,11,"['kind', 'build', 'reduce', 'theory', 'shoulder']"
914dd568-0f91-4f3a-b6c7-ad683767ee0a,Optimized human-resource moratorium,2024-10-06,2024-11-07,fixed_amount,15,90,"['young', 'life', 'might']"
9ae406b1-5353-44e4-9d94-fbc71c606910,Up-sized systemic success,2024-09-22,2024-10-20,percentage,86,76,"['politics', 'they', 'mouth', 'building']"
6dc63d73-9a7f-436a-9ca3-c077f04cdd6d,User-friendly uniform info-mediaries,2024-09-30,2024-11-03,percentage,71,59,"['order', 'relationship', 'southern', 'yourself', 'model']"
c4825c0b-224d-478f-98b4-001f59573ae7,Cross-platform bifurcated open architecture,2024-09-28,2024-10-22,percentage,23,32,"['stay', 'finish']"
f07acb6f-7eab-42f5-b649-c1db4ec98faf,Upgradable intangible array,2024-10-07,2024-10-30,fixed_amount,81,79,"['we', 'likely']"
c9412c9b-967a-4756-8b4b-011f6df87514,De-engineered demand-driven orchestration,2024-09-21,2024-10-31,fixed_amount,90,62,"['support', 'campaign', 'adult']"
c6311174-ab21-4e9c-8be8-505401f521e3,Enterprise-wide logistical installation,2024-10-09,2024-10-29,percentage,38,68,"['eat', 'defense']"
19380698-fa2e-42ff-8ef5-650b5197de50,Seamless incremental neural-net,2024-09-23,2024-10-12,percentage,43,65,['recognize']
7191e8d9-151b-4148-8425-291efc51cae7,Cross-group systemic data-warehouse,2024-09-25,2024-10-15,fixed_amount,42,43,"['under', 'best', 'require', 'skill', 'half']"
81b626c3-f117-4c2e-941d-1c5860c88de5,Organic fault-tolerant middleware,2024-09-24,2024-11-07,fixed_amount,81,46,"['fire', 'science']"
dd5bb661-d577-4f6a-8e9e-a92d945a5554,Enhanced 24/7 adapter,2024-09-11,2024-10-27,percentage,65,11,"['program', 'establish', 'or']"
6e8db969-7067-42ac-b0cc-f47523d3a506,Focused object-oriented contingency,2024-09-28,2024-10-22,fixed_amount,34,28,"['easy', 'for']"
509c0365-5db8-49de-9197-30789cba2727,Multi-channeled tertiary application,2024-09-27,2024-11-07,fixed_amount,88,58,"['customer', 'police', 'window', 'enter', 'room']"
3922c049-123b-42b0-b7f6-fd8c4d36739e,Up-sized uniform ability,2024-10-06,2024-11-01,percentage,69,27,"['year', 'effort', 'real']"
3ed3cb5e-3464-4d72-a866-652d6363102e,Realigned transitional installation,2024-09-16,2024-10-30,percentage,37,74,['hundred']
b4c3dbb9-d0ad-4e39-a1e1-33a43dea9c17,Implemented composite leverage,2024-10-06,2024-10-27,percentage,96,47,['nothing']
